"price.open","price.high","price.low","price.close","volume","price.adjusted","ret.adjusted.prices","price.highLow","price.hype"
3.933333,3.956666,3.83,3.846666,31019100,3.042279,-0.0170361543725601,0.126666,0.0233329999999996
3.876666,3.896666,3.79,3.846666,25707000,3.042279,0,0.106666,0.02
3.87,3.98,3.853333,3.936666,87623400,3.11346,0.0233972623812608,0.126667,0.11
3.96,3.973333,3.893333,3.936666,22448100,3.11346,0,0.0799999999999996,0.0133329999999998
3.91,3.926666,3.86,3.903333,45711900,3.087097,-0.00846742852003879,0.0666660000000001,0.0166659999999998
3.88,3.923333,3.82,3.91,29837100,3.092369,0.00170775327111539,0.103333,0.0433330000000001
3.88,3.936666,3.866666,3.88,28959000,3.068643,-0.00767243495197378,0.0700000000000003,0.0566660000000003
3.88,3.93,3.85,3.866666,35743800,3.058098,-0.00343637236394057,0.0800000000000001,0.0500000000000003
3.893333,3.953333,3.873333,3.903333,32027100,3.087097,0.00948269152917924,0.0800000000000001,0.0600000000000001
3.88,3.9,3.836666,3.84,28550400,3.037008,-0.0162252757201992,0.0633339999999998,0.02
3.9,3.906666,3.846666,3.853333,33351300,3.047553,0.00347216734364886,0.0600000000000001,0.00666600000000006
3.89,3.89,3.803333,3.803333,29058300,3.008008,-0.0129759843389107,0.0866670000000003,0
3.816666,3.833333,3.79,3.8,44098200,3.005372,-0.000876327456575843,0.0433330000000001,0.016667
3.816666,3.846666,3.743333,3.836666,29340600,3.034371,0.00964905509201541,0.103333,0.0299999999999998
3.813333,3.923333,3.793333,3.893333,17137800,3.079188,0.0147697826007431,0.13,0.11
3.816666,3.886666,3.816666,3.83,21597900,3.029098,-0.0162672756583878,0.0699999999999998,0.0699999999999998
3.86,3.916666,3.833333,3.89,30503400,3.076552,0.0156660497613481,0.0833330000000001,0.0566660000000003
3.89,3.94,3.833333,3.863333,17987400,3.055461,-0.00685540176145238,0.106667,0.0499999999999998
3.893333,3.91,3.85,3.85,24940200,3.044916,-0.00345119770797275,0.0600000000000001,0.016667
3.836666,3.85,3.806666,3.813333,10749600,3.015917,-0.00952374384055266,0.0433340000000002,0.013334
3.796666,3.89,3.783333,3.846666,18789300,3.042279,0.00874095673057318,0.106667,0.093334
